IA 1,IA 2,Victoires IA1,Victoires IA2,Nuls,Temps moyen (partie),Temps moyen coup IA1,Temps moyen coup IA2,Facteur branchement
Facile,Moyenne,0,4,0,0.5207,0.004823,0.016447,20.62
Facile,Difficile,0,4,0,0.5056,0.004302,0.014447,19.29
Moyenne,Difficile,0,4,0,1.1423,0.02108,0.032482,22.85
